datetime,open,high,low,close,volume
2023-04-07,7.188,7.292,7.118,7.291,700.48
2023-04-08,7.267,7.289,7.083,7.126,2266.7
2023-04-09,7.128,7.256,7.056,7.226,1223.83
2023-04-10,7.193,7.363,7.0,7.332,7608.9
2023-04-11,7.34,7.444,7.285,7.291,3727.18
2023-04-12,7.289,7.366,7.106,7.256,6210.36
2023-04-13,7.223,7.534,7.181,7.46,7100.45
2023-04-14,7.472,7.89,7.471,7.728,16337.23
2023-04-15,7.727,8.082,7.617,8.007,9756.86
2023-04-16,8.026,8.194,7.908,8.123,8045.24
2023-04-17,8.132,8.29,7.87,8.138,16760.52
2023-04-18,8.168,8.78,8.039,8.576,12175.74
2023-04-19,8.554,8.591,7.667,7.772,14015.26
2023-04-20,7.735,7.959,7.465,7.499,8287.78
2023-04-21,7.547,7.606,7.016,7.119,19729.3
2023-04-22,7.125,7.233,7.09,7.197,4412.72
2023-04-23,7.184,7.185,6.907,7.087,3746.06
2023-04-24,7.095,7.267,7.011,7.07,2817.19
2023-04-25,7.063,7.3,6.961,7.272,5524.34
2023-04-26,7.257,7.494,6.741,6.998,16491.16
2023-04-27,6.995,7.226,6.992,7.158,3937.91
2023-04-28,7.16,7.179,6.951,7.047,4473.23
2023-04-29,7.036,7.215,6.998,7.171,2983.95
2023-04-30,7.2,7.294,7.02,7.02,3815.03
2023-05-01,7.078,7.078,6.805,6.896,8266.47
2023-05-02,6.884,7.009,6.817,6.986,3825.07
2023-05-03,6.952,7.148,6.821,7.113,6770.32
2023-05-04,7.107,7.153,6.959,6.972,1620.97
2023-05-05,7.0,7.273,6.955,7.234,8447.08
2023-05-06,7.225,7.262,6.871,6.91,5440.05
2023-05-07,6.924,6.985,6.873,6.878,1177.99
2023-05-08,6.883,6.916,6.439,6.571,18469.4
2023-05-09,6.592,6.626,6.454,6.509,9296.02
2023-05-10,6.545,6.687,6.34,6.592,9235.19
2023-05-11,6.563,6.563,6.253,6.375,8105.56
2023-05-12,6.375,6.635,6.254,6.616,6925.08
2023-05-13,6.633,6.633,6.483,6.499,2013.73
2023-05-14,6.479,6.602,6.419,6.54,1869.71
2023-05-15,6.547,6.707,6.458,6.625,18063.09
2023-05-16,6.642,6.718,6.556,6.666,5210.83
2023-05-17,6.658,6.801,6.556,6.745,6848.41
2023-05-18,6.75,6.756,6.435,6.55,4908.38
2023-05-19,6.537,6.546,6.474,6.516,570.08
2023-05-20,6.517,6.54,6.485,6.503,972.56
2023-05-21,6.517,6.537,6.368,6.43,3062.97
2023-05-22,6.433,6.602,6.34,6.523,3396.63
2023-05-23,6.536,6.626,6.483,6.503,1034.63
2023-05-24,6.5,6.5,6.219,6.326,3107.63
2023-05-25,6.326,6.336,6.169,6.275,2993.28
2023-05-26,6.264,6.376,6.24,6.346,1618.11
2023-05-27,6.365,6.443,6.335,6.443,875.43
2023-05-28,6.439,6.651,6.439,6.628,2672.34
2023-05-29,6.637,6.672,6.533,6.627,2918.19
2023-05-30,6.636,6.665,6.544,6.602,1364.14
2023-05-31,6.601,6.63,6.404,6.478,5157.59
2023-06-01,6.488,6.505,6.322,6.336,2164.12
2023-06-02,6.332,6.471,6.31,6.451,1766.02
2023-06-03,6.452,6.452,6.363,6.407,2672.19
2023-06-04,6.422,6.53,6.42,6.454,1250.64
2023-06-05,6.444,6.48,5.963,6.06,12500.23
2023-06-06,6.063,6.305,6.003,6.236,13385.16
2023-06-07,6.252,6.259,5.776,5.872,34783.43
2023-06-08,5.86,6.031,5.827,5.986,6393.37
2023-06-09,5.972,6.042,5.7,5.846,31446.74
2023-06-10,5.902,5.982,4.966,5.295,38108.54
2023-06-11,5.256,5.327,5.093,5.147,6096.0
2023-06-12,5.138,5.167,4.999,5.1,9747.54
